data_item,version_id,description,interpretation,data_structure,length_old,min_length,max_length,conf_length,table_id,function_area,date,modification,section,anchor,owl_gen
0,91,Deliver-To Location,,-,0,,,,0,,11/2/14,O,4.A.1.8,ch04a.html#Heading38,FALSE
1,2,Field separator,Feldtrennzeichen,ST,1,,1,,0,,11/25/95,O,3.2.1,hl7chp3.html#Heading4,FALSE
1,3,Field Separator,Feldtrennzeichen,ST,1,,1,,0,,,O,2.24.1.1,ch2.htm#Heading312,FALSE
1,4,Field Separator,Feldtrennzeichen,ST,1,,1,,0,,4/14/99,O,11.6.1,ch11.html#Heading99,FALSE
1,5,Field Separator,Feldtrennzeichen,ST,1,,1,,0,,10/28/00,O,2.16.9.1,ch02.htm#Heading445,FALSE
1,6,Field Separator,Feldtrennzeichen,ST,1,,1,,0,,8/22/03,O,2.15.9.1,ch02.html#Heading213,FALSE
1,7,Field Separator,Feldtrennzeichen,ST,1,,1,,0,,10/26/07,O,2.14.9.1,ch02.html#Heading168,TRUE
1,8,Field Separator,Feldtrennzeichen,ST,1..1,1,1,,0,,3/6/11,O,2.14.9.1,ch02.html#Heading161,FALSE
1,9,Field Separator,Feldtrennzeichen,ST,1..1,1,1,,0,,3/17/14,O,2.14.9.1,ch02.html#Heading177,FALSE
1,61,Field Separator,Feldtrennzeichen,ST,1,,1,,0,,5/8/07,O,2.15.9.1,ch02.html#Heading213,FALSE
1,81,Field Separator,Feldtrennzeichen,ST,1..1,1,1,,0,,3/10/13,O,2.14.9.1,ch02.html#Heading161,FALSE
1,91,Field Separator,Feldtrennzeichen,ST,1..1,,,,0,,11/2/14,O,2.14.9.1,ch02.html#Heading177,FALSE
1,92,Field Separator,Feldtrennzeichen,ST,1..1,1,1,,0,,7/13/15,O,2.14.9.1,ch02.html#Heading177,FALSE
2,1,ACKNOWLEDGMENT CODE,Bestätigungscode,ID,2,,2,,8,CNT,11/25/95,O,2-45,,FALSE
2,2,Encoding characters,Weitere Trennzeichen,ST,4,,4,,0,,11/25/95,O,3.2.2,hl7chp3.html#Heading5,FALSE
2,3,Encoding Characters,Weitere Trennzeichen,ST,4,,4,,0,,,O,2.24.1.2,ch2.htm#Heading313,FALSE
2,4,Encoding Characters,Weitere Trennzeichen,ST,4,,4,,0,,4/14/99,O,11.2.2,ch11.html#Heading34,FALSE
2,5,Encoding Characters,Weitere Trennzeichen,ST,4,,4,,0,,10/28/00,O,2.16.9.2,ch02.htm#Heading446,FALSE
2,6,Encoding Characters,Weitere Trennzeichen,ST,4,,4,,0,,8/22/03,O,2.15.9.2,ch02.html#Heading214,FALSE
2,7,Encoding Characters,Weitere Trennzeichen,ST,4,,4,,0,,10/26/07,O,2.14.9.2,ch02.html#Heading169,TRUE
2,8,Encoding Characters,Weitere Trennzeichen,ST,4..5,4,5,,0,,3/6/11,O,2.14.9.2,ch02.html#Heading162,FALSE
2,9,Encoding Characters,Weitere Trennzeichen,ST,4..5,4,5,,0,,3/17/14,O,2.14.9.2,ch02.html#Heading178,FALSE
2,61,Encoding Characters,Weitere Trennzeichen,ST,4,,4,,0,,5/8/07,O,2.15.9.2,ch02.html#Heading214,FALSE
2,81,Encoding Characters,Weitere Trennzeichen,ST,4..5,4,5,,0,,3/10/13,O,2.14.9.2,ch02.html#Heading162,FALSE
2,91,Encoding Characters,Weitere Trennzeichen,ST,4..5,,,,0,,11/2/14,O,2.14.9.2,ch02.html#Heading178,FALSE
2,92,Encoding Characters,Weitere Trennzeichen,ST,4..5,4,5,,0,,7/13/15,O,2.14.9.2,ch02.html#Heading178,FALSE
3,1,MESSAGE CONTROL ID,Nachrichtenkontrollnummer,ST,20,,20,,0,CNT,11/25/95,O,,,FALSE
3,2,Sending application,Sendende Anwendung / Sendender Bereich,ST,15,,15,,0,,11/25/95,O,3.2.3,hl7chp3.html#Heading6,FALSE
3,3,Sending Application,Sendende Anwendung / Sendender Bereich,HD,180,,180,,0,,,O,2.24.1.3,ch2.htm#Heading314,FALSE
3,4,Sending Application,Sendende Anwendung / Sendender Bereich,HD,180,,180,,361,,4/14/99,O,11.2.3,ch11.html#Heading35,FALSE
3,5,Sending Application,Sendende Anwendung / Sendender Bereich,HD,180,,180,,361,,10/28/00,O,2.16.9.3,ch02.htm#Heading447,FALSE
3,6,Sending Application,Sendende Anwendung / Sendender Bereich,HD,227,,227,,361,,8/22/03,O,2.15.9.3,ch02.html#Heading215,FALSE
3,7,Sending Application,Sendende Anwendung / Sendender Bereich,HD,227,,227,,361,,10/26/07,O,2.14.9.3,ch02.html#Heading170,TRUE
3,8,Sending Application,Sendende Anwendung / Sendender Bereich,HD,,,,,361,,3/6/11,O,2.14.9.3,ch02.html#Heading163,FALSE
3,9,Sending Application,Sendende Anwendung / Sendender Bereich,HD,0,0,0,,361,,3/17/14,O,2.14.9.3,ch02.html#Heading179,FALSE
3,61,Sending Application,Sendende Anwendung / Sendender Bereich,HD,227,,227,,361,,5/8/07,O,2.15.9.3,ch02.html#Heading215,FALSE
3,81,Sending Application,Sendende Anwendung / Sendender Bereich,HD,0,0,0,,361,,3/10/13,O,2.14.9.3,ch02.html#Heading163,FALSE
3,91,Sending Application,Sendende Anwendung / Sendender Bereich,HD,0,,,,361,,11/2/14,O,2.14.9.3,ch02.html#Heading179,FALSE
3,92,Sending Application,Sendende Anwendung / Sendender Bereich,HD,0,,,,361,,7/13/15,O,2.14.9.3,ch02.html#Heading179,FALSE
4,1,TEXT MESSAGE,Text für Fehlermeldung,ST,80,,80,,0,CNT,11/25/95,O,,,FALSE
4,2,Sending facility,Sendender Prozeß / Sendende Einrichtung innerhalb Bereich,ST,20,,20,,0,,11/25/95,O,3.2.4,hl7chp3.html#Heading7,FALSE
4,3,Sending Facility,Sendender Prozeß / Sendende Einrichtung innerhalb Bereich,HD,180,,180,,0,,,O,2.24.1.4,ch2.htm#Heading315,FALSE
4,4,Sending Facility,Sendender Prozeß / Sendende Einrichtung innerhalb Bereich,HD,180,,180,,362,,4/14/99,O,11.2.4,ch11.html#Heading36,FALSE
4,5,Sending Facility,Sendender Prozeß / Sendende Einrichtung innerhalb Bereich,HD,180,,180,,362,,10/28/00,O,2.16.9.4,ch02.htm#Heading448,FALSE
4,6,Sending Facility,Sendender Prozeß / Sendende Einrichtung innerhalb Bereich,HD,227,,227,,362,,8/22/03,O,2.15.9.4,ch02.html#Heading216,FALSE
4,7,Sending Facility,Sendender Prozeß / Sendende Einrichtung innerhalb Bereich,HD,227,,227,,362,,10/26/07,O,2.14.9.4,ch02.html#Heading171,FALSE
4,8,Sending Facility,Sendender Prozeß / Sendende Einrichtung innerhalb Bereich,HD,,,,,362,,3/6/11,O,2.14.9.4,ch02.html#Heading164,FALSE
4,9,Sending Facility,Sendender Prozeß / Sendende Einrichtung innerhalb Bereich,HD,0,0,0,,362,,3/17/14,O,2.14.9.4,ch02.html#Heading180,FALSE
4,61,Sending Facility,Sendender Prozeß / Sendende Einrichtung innerhalb Bereich,HD,227,,227,,362,,5/8/07,O,2.15.9.4,ch02.html#Heading216,FALSE
4,81,Sending Facility,Sendender Prozeß / Sendende Einrichtung innerhalb Bereich,HD,0,0,0,,362,,3/10/13,O,2.14.9.4,ch02.html#Heading164,FALSE
4,91,Sending Facility,Sendender Prozeß / Sendende Einrichtung innerhalb Bereich,HD,0,,,,362,,11/2/14,O,2.14.9.4,ch02.html#Heading180,FALSE
4,92,Sending Facility,Sendender Prozeß / Sendende Einrichtung innerhalb Bereich,HD,0,,,,362,,7/13/15,O,2.14.9.4,ch02.html#Heading180,FALSE
5,1,FIELD SEPARATOR,Feldtrennzeichen,ST,1,,1,,0,CNT,11/25/95,O,2-46,,FALSE
5,2,Receiving application,Empfangende Anwendung / Empfangender Bereich,ST,30,,30,,0,,11/25/95,O,3.2.5,hl7chp3.html#Heading8,FALSE
5,3,Receiving Application,Empfangende Anwendung / Empfangender Bereich,HD,180,,180,,0,,,O,2.24.1.5,ch2.htm#Heading316,FALSE
5,4,Receiving Application,Empfangende Anwendung / Empfangender Bereich,HD,180,,180,,361,,4/14/99,O,11.6.6,ch11.html#Heading104,FALSE
5,5,Receiving Application,Empfangende Anwendung / Empfangender Bereich,HD,180,,180,,361,,10/28/00,O,2.16.9.5,ch02.htm#Heading449,FALSE
5,6,Receiving Application,Empfangende Anwendung / Empfangender Bereich,HD,227,,227,,361,,8/22/03,O,2.15.9.5,ch02.html#Heading217,FALSE
5,7,Receiving Application,Empfangende Anwendung / Empfangender Bereich,HD,227,,227,,361,,10/26/07,O,2.14.9.5,ch02.html#Heading172,FALSE
5,8,Receiving Application,Empfangende Anwendung / Empfangender Bereich,HD,,,,,361,,3/6/11,O,2.14.9.5,ch02.html#Heading165,FALSE
5,9,Receiving Application,Empfangende Anwendung / Empfangender Bereich,HD,0,0,0,,361,,3/17/14,O,2.14.9.5,ch02.html#Heading181,FALSE
5,61,Receiving Application,Empfangende Anwendung / Empfangender Bereich,HD,227,,227,,361,,5/8/07,O,2.15.9.5,ch02.html#Heading217,FALSE
5,81,Receiving Application,Empfangende Anwendung / Empfangender Bereich,HD,0,0,0,,361,,3/10/13,O,2.14.9.5,ch02.html#Heading165,FALSE
5,91,Receiving Application,Empfangende Anwendung / Empfangender Bereich,HD,0,,,,361,,11/2/14,O,2.14.9.5,ch02.html#Heading181,FALSE
5,92,Receiving Application,Empfangende Anwendung / Empfangender Bereich,HD,0,,,,361,,7/13/15,O,2.14.9.5,ch02.html#Heading181,FALSE
6,1,SENDING APPLICATION,sendender Bereich,ST,15,,15,,0,CNT,11/25/95,O,,,FALSE
6,2,Receiving facility,Empfangender Prozeß / Empfangende Einrichtung innerhalb Bereich,ST,30,,30,,0,,11/25/95,O,3.2.6,hl7chp3.html#Heading9,FALSE
6,3,Receiving Facility,Empfangender Prozeß / Empfangende Einrichtung innerhalb Bereich,HD,180,,180,,0,,,O,2.24.1.6,ch2.htm#Heading317,FALSE
6,4,Receiving Facility,Empfangender Prozeß / Empfangende Einrichtung innerhalb Bereich,HD,180,,180,,362,,4/14/99,O,11.2.6,ch11.html#Heading38,FALSE
6,5,Receiving Facility,Empfangender Prozeß / Empfangende Einrichtung innerhalb Bereich,HD,180,,180,,362,,10/28/00,O,2.16.9.6,ch02.htm#Heading450,FALSE
6,6,Receiving Facility,Empfangender Prozeß / Empfangende Einrichtung innerhalb Bereich,HD,227,,227,,362,,8/22/03,O,2.15.9.6,ch02.html#Heading218,FALSE
