comp_no,version_id,description,interpretation,table_id,modification,data_type_code,data_structure,last_change,section
1,1,Saal,Saal,0,O,ST,ST,,
1,2,message type,Nachrichtentyp,76,O,ID,ID,,2-46
1,6,Street Address,Strasse,0,O,ST,ST,9/1/03,
1,7,Street Address,Strasse,0,O,ST,ST,10/28/07,
1,9,Street Address,Strasse,0,O,ST,ST,3/18/14,
1,61,Street Address,Strasse,0,O,ST,ST,5/10/07,
1,81,Street Address,Strasse,0,O,ST,ST,3/29/13,
1,91,Street Address,Strasse,0,O,ST,ST,11/2/14,
2,1,Stuhl,Stuhl,0,O,ST,ST,,
2,2,Trigger Event,Nachrichtenereignis,3,O,ID,ID,,2-46
2,3,trigger event,Nachrichtenereignis,3,O,ID,ID,,
2,4,trigger event,Nachrichtenereignis,3,O,ID,ID,4/14/99,
2,5,trigger event,Nachrichtenereignis,3,O,ID,ID,7/8/00,
2,6,Other Designation,sonst. Adresse,0,O,ST,ST,9/1/03,
2,7,Other Designation,sonst. Adresse,0,O,ST,ST,10/28/07,
2,9,Other Designation,sonst. Adresse,0,O,ST,ST,3/18/14,
2,61,Other Designation,sonst. Adresse,0,O,ST,ST,5/10/07,
2,81,Other Designation,sonst. Adresse,0,O,ST,ST,3/29/13,
2,91,Other Designation,sonst. Adresse,0,O,ST,ST,11/2/14,
3,1,Tisch,Sitzplatz,0,O,ST,ST,,
3,2,identifier,Schlüssel,0,O,ID,ID,,3-35
3,3,identifier,Schlüssel,0,O,ID,ID,,2-78
3,4,identifier,Schlüssel,0,O,ST,ST,4/14/99,2-13
3,5,identifier (ID),Schlüssel,0,O,ID,ID,7/8/00,2-13
3,6,City,Ort,0,O,ST,ST,9/1/03,
3,7,City,Ort,0,O,ST,ST,10/28/07,
3,9,City,Ort,0,O,ST,ST,3/18/14,
3,61,City,Ort,0,O,ST,ST,5/10/07,
3,81,City,Ort,0,O,ST,ST,3/29/13,
3,91,City,Ort,0,O,ST,ST,11/2/14,
4,2,text,Text,0,O,ST,ST,,
4,3,text,Text,0,O,ST,ST,,2-13
4,4,text,Text,0,O,ST,ST,4/14/99,2-13
