table_id,version_id,display_name,description_as_pub,table_type,interpretation,generate,oid_table,section,anchor,owl_gen,contains_other,contains_unknown,deleted_values,new_values,case_insensitive,steward,v3_harmonization,v3_equivalent,where_used,status,v2codetable,v2codetablecomment,cs_oid,cs_version,vs_oid,audit_track,modification_date,width_col1,width_col2,width_col3,width_col4,binding,version_description,comment,version_introduced,vs_expansion
0,0,,,,,FALSE,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,0,,0,0,0,0,,,,1,1
0,1,no table,no table,0,keine Tabelle,FALSE,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,MSA-2,,,,,,,1,,,,,,,,,1,1
0,2,no table,no table,0,keine Tabelle,FALSE,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,1,,,,,,,,,1,1
0,3,no table,no table,0,keine Tabelle,FALSE,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,1,,,,,,,,,1,1
0,4,no table,no table,0,keine Tabelle,FALSE,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,1,,,,,,,,,1,1
0,5,no table,no table,0,keine Tabelle,FALSE,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,1,,,,,,,,,1,1
0,6,no table,no table,0,keine Tabelle,FALSE,,all,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,1,,,,,,,,,1,1
0,7,no table,no table,0,keine Tabelle,FALSE,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,1,,,,,,,,,1,1
0,8,no table,no table,0,keine Tabelle,FALSE,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,1,,,,,,,,,1,1
0,9,no table,no table,0,keine Tabelle,FALSE,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,1,,,,,,,,,1,1
0,10,no table,no table,2,keine Tabelle,FALSE,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,1,,0,0,0,,universal,,,1,1
0,20,no table,no table,0,keine Tabelle,FALSE,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,1,,,,,,,,,1,1
0,60,no table,no table,0,keine Tabelle,FALSE,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,1,,,,,,,,,1,1
0,61,no table,no table,0,keine Tabelle,FALSE,,all,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,1,,,,,,,,,1,1
0,81,no table,no table,0,keine Tabelle,FALSE,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,1,,,,,,,,,1,1
0,91,no table,no table,2,keine Tabelle,FALSE,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,1,,,,,,universal,,,1,1
0,92,no table,no table,2,keine Tabelle,FALSE,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,1,,0,0,0,,universal,,,1,1
