seg_code,version_id,description,interpretation,function_area,generate,last_field_repeatable,visible,section,anchor,owl_gen
[,0,begin optional,,,FALSE,FALSE,FALSE,,,FALSE
[,1,begin optional,,,FALSE,FALSE,FALSE,,,FALSE
[,2,begin optional,,,FALSE,FALSE,FALSE,,,FALSE
[,3,begin optional,,,FALSE,FALSE,FALSE,,,FALSE
[,4,begin optional,,,FALSE,FALSE,FALSE,,,FALSE
[,5,begin optional,,,FALSE,FALSE,FALSE,,,FALSE
[,6,begin optional,,,FALSE,FALSE,FALSE,,,FALSE
[,7,begin optional,,,FALSE,FALSE,FALSE,,,FALSE
[,8,begin optional,,,FALSE,FALSE,FALSE,,,FALSE
[,9,begin,,,FALSE,FALSE,FALSE,,,FALSE
[,61,begin optional,,,FALSE,FALSE,FALSE,,,FALSE
[,81,begin optional,,,FALSE,FALSE,FALSE,,,FALSE
[,91,begin,,,FALSE,FALSE,FALSE,,,FALSE
[,92,begin,,,FALSE,FALSE,FALSE,,,FALSE
[{,4,begin optional + repeating,,,FALSE,FALSE,FALSE,,,FALSE
[{,5,begin optional + repeating,,,FALSE,FALSE,FALSE,,,FALSE
[{,6,begin optional + repeating,,,FALSE,FALSE,FALSE,,,FALSE
[{,7,begin optional + repeating,,,FALSE,FALSE,FALSE,,,FALSE
[{,8,begin optional + repeating,,,FALSE,FALSE,FALSE,,,FALSE
[{,9,begin optional + repeating,,,FALSE,FALSE,FALSE,,,FALSE
[{,32,begin optional + repeating,,,FALSE,FALSE,FALSE,,,FALSE
[{,61,begin optional + repeating,,,FALSE,FALSE,FALSE,,,FALSE
[{,81,begin optional + repeating,,,FALSE,FALSE,FALSE,,,FALSE
[{,91,begin,,,FALSE,FALSE,FALSE,,,FALSE
[{,92,begin,,,FALSE,FALSE,FALSE,,,FALSE
],1,end optional,,,FALSE,FALSE,FALSE,,,FALSE
],2,end optional,,,FALSE,FALSE,FALSE,,,FALSE
],3,end optional,,,FALSE,FALSE,FALSE,,,FALSE
],4,end optional,,,FALSE,FALSE,FALSE,,,FALSE
],5,end optional,,,FALSE,FALSE,FALSE,,,FALSE
],6,end optional,,,FALSE,FALSE,FALSE,,,FALSE
],7,end optional,,,FALSE,FALSE,FALSE,,,FALSE
],8,end optional,,,FALSE,FALSE,FALSE,,,FALSE
],9,end optional,,,FALSE,FALSE,FALSE,,,FALSE
],32,end optional,,,FALSE,FALSE,FALSE,,,FALSE
],61,end optional,,,FALSE,FALSE,FALSE,,,FALSE
],81,end optional,,,FALSE,FALSE,FALSE,,,FALSE
],91,end,,,FALSE,FALSE,FALSE,,,FALSE
],92,end,,,FALSE,FALSE,FALSE,,,FALSE
{,1,begin repetition,,,FALSE,FALSE,FALSE,,,FALSE
{,2,begin repetition,,,FALSE,FALSE,FALSE,,,FALSE
{,3,begin repetition,,,FALSE,FALSE,FALSE,,,FALSE
{,4,begin repetition,,,FALSE,FALSE,FALSE,,,FALSE
{,5,begin repetition,,,FALSE,FALSE,FALSE,,,FALSE
{,6,begin repetition,,,FALSE,FALSE,FALSE,,,FALSE
{,7,begin repetition,,,FALSE,FALSE,FALSE,,,FALSE
{,8,begin repetition,,,FALSE,FALSE,FALSE,,,FALSE
{,9,begin,,,FALSE,FALSE,FALSE,,,FALSE
{,32,begin repetition,,,FALSE,FALSE,FALSE,,,FALSE
{,61,begin repetition,,,FALSE,FALSE,FALSE,,,FALSE
{,81,begin repetition,,,FALSE,FALSE,FALSE,,,FALSE
{,91,begin,,,FALSE,FALSE,FALSE,,,FALSE
{,92,begin,,,FALSE,FALSE,FALSE,,,FALSE
|,1,next choice,,,FALSE,FALSE,FALSE,,,FALSE
|,2,next choice,,,FALSE,FALSE,FALSE,,,FALSE
|,3,next choice,,,FALSE,FALSE,FALSE,,,FALSE
|,4,next choice,,,FALSE,FALSE,FALSE,,,FALSE
|,5,next choice,,,FALSE,FALSE,FALSE,,,FALSE
|,6,next choice,,,FALSE,FALSE,FALSE,,,FALSE
|,7,next choice,,,FALSE,FALSE,FALSE,,,FALSE
|,8,next choice,,,FALSE,FALSE,FALSE,,,FALSE
|,9,next choice,,,FALSE,FALSE,FALSE,,,FALSE
|,61,next choice,,,FALSE,FALSE,FALSE,,,FALSE
|,81,next choice,,,FALSE,FALSE,FALSE,,,FALSE
|,91,begin,,,FALSE,FALSE,FALSE,,,FALSE
|,92,begin,,,FALSE,FALSE,FALSE,,,FALSE
},1,end repetition,,,FALSE,FALSE,FALSE,,,FALSE
},2,end repetition,,,FALSE,FALSE,FALSE,,,FALSE
},3,end repetition,,,FALSE,FALSE,FALSE,,,FALSE
},4,end repetition,,,FALSE,FALSE,FALSE,,,FALSE
},5,end repetition,,,FALSE,FALSE,FALSE,,,FALSE
},6,end repetition,,,FALSE,FALSE,FALSE,,,FALSE
},7,end repetition,,,FALSE,FALSE,FALSE,,,FALSE
},8,end repetition,,,FALSE,FALSE,FALSE,,,FALSE
},9,end repetition,,,FALSE,FALSE,FALSE,,,FALSE
},32,end repetition,,,FALSE,FALSE,FALSE,,,FALSE
},61,end repetition,,,FALSE,FALSE,FALSE,,,FALSE
},81,end repetition,,,FALSE,FALSE,FALSE,,,FALSE
},91,end,,,FALSE,FALSE,FALSE,,,FALSE
},92,end,,,FALSE,FALSE,FALSE,,,FALSE
}],4,end optional + repeating,,,FALSE,FALSE,FALSE,,,FALSE
}],5,end optional + repeating,,,FALSE,FALSE,FALSE,,,FALSE
}],6,end optional + repeating,,,FALSE,FALSE,FALSE,,,FALSE
}],7,end optional + repeating,,,FALSE,FALSE,FALSE,,,FALSE
}],8,end optional + repeating,,,FALSE,FALSE,FALSE,,,FALSE
}],9,end optional + repeating,,,FALSE,FALSE,FALSE,,,FALSE
}],32,end optional + repeating,,,FALSE,FALSE,FALSE,,,FALSE
}],61,end optional + repeating,,,FALSE,FALSE,FALSE,,,FALSE
}],81,end optional + repeating,,,FALSE,FALSE,FALSE,,,FALSE
}],91,end,,,FALSE,FALSE,FALSE,,,FALSE
}],92,end,,,FALSE,FALSE,FALSE,,,FALSE
<,1,begin choice,,,FALSE,FALSE,FALSE,,,FALSE
<,2,begin choice,,,FALSE,FALSE,FALSE,,,FALSE
<,3,begin choice,,,FALSE,FALSE,FALSE,,,FALSE
<,4,begin choice,,,FALSE,FALSE,FALSE,,,FALSE
<,5,begin choice,,,FALSE,FALSE,FALSE,,,FALSE
<,6,begin choice,,,FALSE,FALSE,FALSE,,,FALSE
<,7,begin choice,,,FALSE,FALSE,FALSE,,,FALSE
<,8,begin choice,,,FALSE,FALSE,FALSE,,,FALSE
<,9,begin choice,,,FALSE,FALSE,FALSE,,,FALSE
<,61,begin choice,,,FALSE,FALSE,FALSE,,,FALSE
<,81,begin choice,,,FALSE,FALSE,FALSE,,,FALSE
<,91,begin,,,FALSE,FALSE,FALSE,,,FALSE
<,92,begin,,,FALSE,FALSE,FALSE,,,FALSE
>,1,end choice,,,FALSE,FALSE,FALSE,,,FALSE
>,2,end choice,,,FALSE,FALSE,FALSE,,,FALSE
>,3,end choice,,,FALSE,FALSE,FALSE,,,FALSE
>,4,end choice,,,FALSE,FALSE,FALSE,,,FALSE
>,5,end choice,,,FALSE,FALSE,FALSE,,,FALSE
>,6,end choice,,,FALSE,FALSE,FALSE,,,FALSE
>,7,end choice,,,FALSE,FALSE,FALSE,,,FALSE
>,8,end choice,,,TRUE,FALSE,FALSE,,,FALSE
>,9,end choice,,,FALSE,FALSE,FALSE,,,FALSE
>,61,end choice,,,FALSE,FALSE,FALSE,,,FALSE
>,81,end choice,,,FALSE,FALSE,FALSE,,,FALSE
>,91,begin,,,FALSE,FALSE,FALSE,,,FALSE
>,92,begin,,,FALSE,FALSE,FALSE,,,FALSE
ABS,5,Abstract,Abstraktes Segment,,FALSE,FALSE,TRUE,6.5.12,ch06.htm#Heading361,FALSE
ABS,6,Abstract,Abstraktes Segment,,FALSE,FALSE,TRUE,6.5.12,ch06.html#Heading378,FALSE
ABS,7,Abstract,Abstraktes Segment,,FALSE,FALSE,TRUE,6.5.12,ch06.html#Heading408,FALSE
ABS,8,Abstract,Abstraktes Segment,,FALSE,FALSE,TRUE,6.5.12,ch06.html#Heading414,FALSE
ABS,9,Abstract,Abstraktes Segment,,FALSE,FALSE,TRUE,6.5.12,ch06.html#Heading429,FALSE
ABS,61,Abstract,Abstraktes Segment,,FALSE,FALSE,TRUE,6.5.12,ch06.html#Heading378,FALSE
ABS,81,Abstract,Abstraktes Segment,,FALSE,FALSE,TRUE,6.5.12,ch06.html#Heading414,FALSE
