data_structure,version_id,description,interpretation,data_type_code,repeating,elementary,date,section,anchor,owl_gen,mixed_content
-,7,withdrawn,obsolet,-,FALSE,FALSE,10/26/07,,,FALSE,FALSE
-,8,withdrawn,obsolet,-,FALSE,FALSE,3/6/11,,,FALSE,FALSE
-,9,withdrawn,obsolet,-,FALSE,FALSE,3/17/14,,,FALSE,FALSE
-,61,withdrawn,obsolet,-,FALSE,FALSE,3/10/13,,,FALSE,FALSE
-,81,withdrawn,obsolet,-,FALSE,FALSE,3/10/13,,,FALSE,FALSE
-,91,withdrawn,obsolet,-,FALSE,FALSE,3/10/13,,,FALSE,FALSE
-,92,withdrawn,obsolet,-,FALSE,FALSE,7/13/15,,,FALSE,FALSE
-,540,withdrawn,obsolet,-,FALSE,FALSE,7/6/15,,,FALSE,FALSE
AD,1,address,Adresse,AD,FALSE,FALSE,11/25/95,2.3.3.8,kap2.html#Heading33,FALSE,FALSE
AD,2,address,Adresse,AD,FALSE,FALSE,11/25/95,2.4.5.10,hl7chp2.html#Heading24,FALSE,FALSE
AD,3,address,Adresse,AD,FALSE,FALSE,5/27/96,2.8.1,,FALSE,FALSE
AD,4,address,Adresse,AD,FALSE,FALSE,4/14/99,2.8.1,ch2.html#Heading22,FALSE,FALSE
AD,5,address,Adresse,AD,FALSE,FALSE,3/25/00,2.9.1,ch02.htm#Heading23,FALSE,FALSE
AD,6,Address,Adresse,AD,FALSE,FALSE,2/28/08,2.A.1,ch02A.html#Heading3,FALSE,FALSE
AD,7,Address,Adresse,AD,FALSE,FALSE,10/26/07,2.A.1,ch02a.html#Heading3,FALSE,FALSE
AD,8,Address,Adresse,AD,FALSE,FALSE,3/6/11,2.A.1,ch02a.html#Heading3,FALSE,FALSE
AD,9,Address,Adresse,AD,FALSE,FALSE,3/17/14,2.A.1,ch02a.html#Heading3,FALSE,FALSE
AD,60,Address,Adresse,AD,FALSE,TRUE,5/7/06,2.A.1,ch02A.html#Heading3,FALSE,FALSE
AD,61,Address,Adresse,AD,FALSE,FALSE,5/8/07,2.A.1.1,ch02a.html#Heading3,FALSE,FALSE
AD,81,Address,Adresse,AD,FALSE,FALSE,3/10/13,2.A.1,ch02a.html#Heading3,FALSE,FALSE
AD,91,Address,Adresse,AD,FALSE,FALSE,11/2/14,2.A.1,ch02a.html#Heading3,FALSE,FALSE
AD,92,Address,Adresse,AD,FALSE,FALSE,7/13/15,2.A.1,ch02a.html#Heading3,FALSE,FALSE
AUI,4,authorization information,Aktenzeichen der Kostenübernahme,AUI,FALSE,FALSE,12/30/01,,,FALSE,FALSE
AUI,5,authorization information,Aktenzeichen der Kostenübernahme,AUI,FALSE,FALSE,11/29/01,,,FALSE,FALSE
AUI,6,Authorization Information,Aktenzeichen der Kostenübernahme,AUI,FALSE,FALSE,8/22/03,2.A.2,ch02A.html#Heading13,FALSE,FALSE
AUI,7,Authorization Information,Aktenzeichen der Kostenübernahme,AUI,FALSE,FALSE,10/26/07,2.A.2,ch02a.html#Heading13,FALSE,FALSE
AUI,8,Authorization Information,Aktenzeichen der Kostenübernahme,AUI,FALSE,FALSE,3/6/11,2.A.2,ch02a.html#Heading13,FALSE,FALSE
AUI,9,Authorization Information,Aktenzeichen der Kostenübernahme,AUI,FALSE,FALSE,3/17/14,2.A.2,ch02a.html#Heading13,FALSE,FALSE
AUI,60,Authorization Information,Aktenzeichen der Kostenübernahme,AUI,FALSE,FALSE,8/22/03,2.A.2,ch02A.html#Heading13,FALSE,FALSE
AUI,61,Authorization Information,Aktenzeichen der Kostenübernahme,AUI,FALSE,FALSE,5/8/07,2.A.1.2,ch02a.html#Heading13,FALSE,FALSE
AUI,81,Authorization Information,Aktenzeichen der Kostenübernahme,AUI,FALSE,FALSE,3/10/13,2.A.2,ch02a.html#Heading11,FALSE,FALSE
AUI,91,Authorization Information,Aktenzeichen der Kostenübernahme,AUI,FALSE,FALSE,11/2/14,2.A.2,ch02a.html#Heading13,FALSE,FALSE
AUI,92,Authorization Information,Aktenzeichen der Kostenübernahme,AUI,FALSE,FALSE,7/13/15,2.A.2,ch02a.html#Heading13,FALSE,FALSE
CCD,4,charge time,Abrechnungszeitpunkt,CCD,FALSE,FALSE,12/30/01,,,FALSE,FALSE
CCD,5,charge time,Abrechnungszeitpunkt,CCD,FALSE,FALSE,2/2/01,,,FALSE,FALSE
CCD,6,Charge Code and Date,Rechnungslegung,CCD,FALSE,FALSE,8/22/03,2.A.3,ch02A.html#Heading18,FALSE,FALSE
CCD,7,Charge Code and Date,Rechnungslegung,CCD,FALSE,FALSE,10/26/07,2.A.3,ch02a.html#Heading18,FALSE,FALSE
CCD,8,Charge Code and Date,Rechnungslegung,CCD,FALSE,FALSE,3/6/11,2.A.3,ch02a.html#Heading18,FALSE,FALSE
CCD,9,Charge Code and Date,Rechnungslegung,CCD,FALSE,FALSE,3/17/14,2.A.3,ch02a.html#Heading18,FALSE,FALSE
