message_structure,version_id,description,example_event,example_msg_type,action,section,anchor,owl_gen
?,1,unknown,,,,,,FALSE
?,2,unknown,,,,,,FALSE
?,3,unknown,,,,,,FALSE
?,4,unknown,,,,,,FALSE
ACK,0,Standard Acknowlegdement,,,,,,FALSE
ACK,1,Standard Acknowlegdement,A01,ACK,,,,FALSE
ACK,2,Standard Acknowlegdement,A01,ACK,,,,FALSE
ACK,3,Standard Acknowlegdement,A01,ACK,,,,FALSE
ACK,4,Standard Acknowlegdement,A01,ACK,,,,FALSE
ACK,5,Standard Acknowlegdement,,,,all,,FALSE
ACK,6,Standard Acknowlegdement,,,,2.14.1,ch02.html#Heading142,FALSE
ACK,7,Standard Acknowlegdement,,,,2.13.1,ch02.html#Heading92,TRUE
ACK,8,General Acknowledgment,,,,2.13.1,ch02.html#Heading93,FALSE
ACK,9,General Acknowledgment,,,,2.13.1,ch02.html#Heading101,FALSE
ACK,32,Standard Acknowlegdement,,,,,,FALSE
ACK,61,Standard Acknowlegdement,,,,2.14.1,ch02.html#Heading142,FALSE
ACK,81,General Acknowledgment,,,,2.13.1,ch02.html#Heading93,FALSE
ACK,91,,,,,2.13.1,ch02.html#Heading101,FALSE
ACK,92,,,,,2.13.1,ch02.html#Heading101,FALSE
ACK_N02,5,,,,,14,,FALSE
ADR_A19,4,,A19,ADR,,,,FALSE
ADR_A19,5,,,,,3,,FALSE
ADR_A19,6,,,,,3.3.19,ch03.html#Heading23,FALSE
ADR_A19,7,,,,,3.3.19,ch03.html#Heading23,FALSE
ADR_A19,61,,,,,3.3.19,ch03.html#Heading23,FALSE
ADT_A01,0,,,,,,,FALSE
ADT_A01,3,General,A01,ADT,,,,FALSE
ADT_A01,4,General,A01,ADT,,,,FALSE
ADT_A01,5,General,,,,3,,FALSE
ADT_A01,6,General,,,,3.3.1,ch03.html#Heading5,FALSE
ADT_A01,7,General,,,,3.3.1,ch03.html#Heading5,TRUE
ADT_A01,8,ADT Message,,,,3.3.1,ch03.html#Heading5,FALSE
ADT_A01,9,ADT Message,,,,3.3.1,ch03.html#Heading5,FALSE
ADT_A01,32,General,,,,,,FALSE
ADT_A01,61,General,,,,3.3.1,ch03.html#Heading5,FALSE
ADT_A01,81,ADT Message,,,,3.3.1,ch03.html#Heading5,FALSE
ADT_A01,91,,,,,3.3.1,ch03.html#Heading5,FALSE
ADT_A01,92,,,,,3.3.1,ch03.html#Heading5,FALSE
ADT_A02,3,Transfer,A02,ADT,,,,FALSE
ADT_A02,4,Transfer,A02,ADT,,,,FALSE
ADT_A02,5,Transfer,,,,3,,FALSE
